Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.rblbank.mobank,,,en,cactus,2020-06-01T01:11:44Z,1.59097E+12,2020-06-01T01:11:44Z,1.59097E+12,4,,,,,,
com.rblbank.mobank,183,7.0.22,en,CPH1909,2019-12-19T12:53:20Z,1.57676E+12,2020-06-01T01:20:03Z,1.59097E+12,5,,Excellent,2020-06-03T10:47:31Z,1.59118E+12,"Hello, Please accept our sincere gratitude for your time and effort in writing to us. We thank you for your feedback & rating. Please update your App with the latest version, and enjoy the amazingly simple to use RBL Mobank Also, write to us on customercare@rblbank.com with detailed request. Kind Regards, RBL Bank",https://play.google.com/apps/publish?account=6616442601812819648#ReviewDetailsPlace:p=com.rblbank.mobank&reviewid=gp:AOqpTOG9_eSMpTDqaaFaPX5TUwfoapBxJWfEOfUsLOOSmlWaz7lYEzxMPv6824SDA-X6AtBOCHdnRwTlhYTRk9M
com.rblbank.mobank,,,en,crownlte,2020-06-01T01:36:48Z,1.59098E+12,2020-06-01T01:36:48Z,1.59098E+12,5,,,,,,
com.rblbank.mobank,178,7.0.21,en,cactus,2020-06-01T02:03:37Z,1.59098E+12,2020-06-01T02:03:37Z,1.59098E+12,5,,Nice??,2020-06-03T10:48:24Z,1.59118E+12,"Hello, Please accept our sincere gratitude for your time and effort in writing to us. We thank you for your feedback & rating. Please update your App with the latest version, and enjoy the amazingly simple to use RBL Mobank Also, write to us on customercare@rblbank.com with detailed request. Kind Regards, RBL Bank",https://play.google.com/apps/publish?account=6616442601812819648#ReviewDetailsPlace:p=com.rblbank.mobank&reviewid=gp:AOqpTOH7uqRhtEbhhmJSV4y-kC2ZAIGQDbictWrFTeZBYMdAhbsmT1LHkl16rjHTUfOhYF5Az1IDaJ15szn5Ed4
com.rblbank.mobank,52,6.8.7,en,a50,2020-06-01T02:29:46Z,1.59098E+12,2020-06-01T02:29:46Z,1.59098E+12,1,,Every login I'm getting irritated app is asking to install new app from play store due to app is corrupted. What is happening...,2020-06-03T10:49:19Z,1.59118E+12,"Hi, we regret the inconvenience caused. Kindly elaborate on the issue so that we can look into the matter and resolve it for you. Please write to us at customercare@rblbank.com Kind Regards, RBL Bank.",https://play.google.com/apps/publish?account=6616442601812819648#ReviewDetailsPlace:p=com.rblbank.mobank&reviewid=gp:AOqpTOEtbvPjR_DJUWf3xgyVyr61WKZ_2mc2wtkxsAFKTsEPfVG0eTBlcVaNpQ8g0ZMCi5ZHBDTEAUn-uzzEGAw
com.rblbank.mobank,,,en,1820,2020-06-01T03:03:07Z,1.59098E+12,2020-06-01T03:03:07Z,1.59098E+12,5,,,,,,
com.rblbank.mobank,183,7.0.22,en,a6plte,2020-06-01T04:15:15Z,1.59098E+12,2020-06-01T04:15:15Z,1.59098E+12,5,,,,,,
com.rblbank.mobank,183,7.0.22,en,INTEX_AQUA_LIONS_3,2020-06-01T04:25:06Z,1.59099E+12,2020-06-01T04:25:06Z,1.59099E+12,5,,Very,2020-06-03T10:50:01Z,1.59118E+12,"Hello, Please accept our sincere gratitude for your time and effort in writing to us. We thank you for your feedback & rating. Please update your App with the latest version, and enjoy the amazingly simple to use RBL Mobank Also, write to us on customercare@rblbank.com with detailed request. Kind Regards, RBL Bank",https://play.google.com/apps/publish?account=6616442601812819648#ReviewDetailsPlace:p=com.rblbank.mobank&reviewid=gp:AOqpTOFvWeqnJkL62NUmlah7Qn-7dXYX_bU6uhBI6DzCWQXo34olkOv0H5_V-013GS7HawcOEt_ow01d3TmUjVY
com.rblbank.mobank,169,7.0.20,en,E,2020-06-01T04:51:18Z,1.59099E+12,2020-06-01T04:51:18Z,1.59099E+12,5,,,,,,
com.rblbank.mobank,169,7.0.20,en,onc,2020-06-01T04:54:11Z,1.59099E+12,2020-06-01T04:54:11Z,1.59099E+12,4,,,,,,
